dep,jour,pop,p,cl_age90
15,2020-05-13,142811.00,0,0
15,2020-05-13,11848.00,0,09
15,2020-05-13,14723.00,0,19
15,2020-05-13,10823.00,0,29
15,2020-05-13,14131.00,0,39
15,2020-05-13,17202.00,0,49
15,2020-05-13,21195.00,0,59
15,2020-05-13,22570.00,0,69
15,2020-05-13,16580.00,0,79
15,2020-05-13,10736.00,0,89
15,2020-05-13,3003.00,0,90
16,2020-05-13,348180.00,1,0
16,2020-05-13,33211.00,0,09
16,2020-05-13,38113.00,0,19
16,2020-05-13,32134.00,0,29
16,2020-05-13,37221.00,0,39
16,2020-05-13,42419.00,0,49
16,2020-05-13,48767.00,0,59
16,2020-05-13,50853.00,0,69
16,2020-05-13,36331.00,0,79
16,2020-05-13,22430.00,0,89
16,2020-05-13,6701.00,1,90
17,2020-05-13,647080.00,1,0
17,2020-05-13,58806.00,0,09
17,2020-05-13,71812.00,0,19
17,2020-05-13,53205.00,0,29
17,2020-05-13,66631.00,0,39
17,2020-05-13,78405.00,1,49
17,2020-05-13,85909.00,0,59
17,2020-05-13,99076.00,0,69
17,2020-05-13,77944.00,0,79
17,2020-05-13,42748.00,0,89
17,2020-05-13,12544.00,0,90
18,2020-05-13,296404.00,2,0
18,2020-05-13,29609.00,0,09
18,2020-05-13,32324.00,0,19
18,2020-05-13,25641.00,0,29
18,2020-05-13,31552.00,0,39
18,2020-05-13,35301.00,0,49
18,2020-05-13,41611.00,1,59
18,2020-05-13,42884.00,0,69
18,2020-05-13,32539.00,0,79
18,2020-05-13,19265.00,1,89
18,2020-05-13,5678.00,0,90
19,2020-05-13,240336.00,3,0
19,2020-05-13,21838.00,0,09
19,2020-05-13,26308.00,0,19
19,2020-05-13,20570.00,1,29
19,2020-05-13,24486.00,1,39
19,2020-05-13,29167.00,1,49
19,2020-05-13,33019.00,0,59
19,2020-05-13,35896.00,0,69
19,2020-05-13,26854.00,0,79
19,2020-05-13,17025.00,0,89
19,2020-05-13,5173.00,0,90
21,2020-05-13,532886.00,4,0
21,2020-05-13,55209.00,0,09
21,2020-05-13,66424.00,0,19
21,2020-05-13,65446.00,0,29
21,2020-05-13,62868.00,0,39
21,2020-05-13,65826.00,1,49
21,2020-05-13,68688.00,0,59
21,2020-05-13,65804.00,0,69
21,2020-05-13,47831.00,2,79
21,2020-05-13,26613.00,0,89
21,2020-05-13,8177.00,1,90
22,2020-05-13,596186.00,3,0
